Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
"Lets not edit user pages and look bad, ok?",Low,informal,direct,cautionary,look bad
America is a country full of diverse people.,Low,neutral,informative,positive,none
How do you like that?,Low,inquisitive,conversational,neutral,none
Who cares about NBC Universal? It is a funny commentary.,Low,informal,dismissive and humorous,dismissive,Who cares
Who deleted the spoiler warnings? who deleted them?,Low,inquisitive,direct and neutral,concerned,none
"Please, see my page for more of my comments on your work",Low,polite,formal,positive,none
I wasn't joking so I don't see why you had to make it a joke.,Low,assertive,direct and straightforward,mild frustration,none
"These are legitimate edits, please stop reverting them.",Low,assertive,direct and neutral,polite,none
My suggestion to you is to please be quiet.,Low,polite,formal,cautious,none
"Someone doesn't listen to Propagandhi, so I feel sorry for him.",Low,informal,opinionated and slightly condescending,judgmental,"feel sorry, him"
This profile has protected Bermender since day one.,Low,neutral,informative,supportive,none
Where did you get this information?,Low,neutral,inquisitive,curiosity,none
"Many unsecured wi-fi hot spots, so many useless wikipedia pages",Low,critical,informative and neutral,negative,"unsecured, useless"
Because some individual insists that Ned Holness doesn't have german blood.,Low,neutral,informative and neutral,neutral,none
Hi Hi How are you man?,Low,friendly,informal,positive,none
"Please unblock us, there are really some strangers in this school.",Low,urgent,pleading and concerned,worried,strangers
I just began my work five minutes prior to your start. Allow me some time to complete it.,Low,polite,formal,requesting,none
"Hello, it is my article, and if I wish to delete it, I will.",Low,assertive,informative and firm,confident,none
Who makes changes to things that should not be changed?,Low,inquisitive,neutral,curiosity,none
"I do not like you, ecto.",Low,negative,informal,dislike,not like
How are you going to block me from editting?,Low,curious,informative and neutral,concerned,block
How does this person merit a page on Wikipedia?,Low,inquisitive,challenging,skeptical,none
I will help you.,Low,supportive,polite and direct,positive,none
Steak Diane. Please stop disrupting my edits on steak diane. Thank you.,Low,polite,direct and requestive,mild frustration,disrupting
What is the problem of Byzantıum?,Low,inquisitive,neutral,neutral,problem
"Tell that to AMIB, will you?",Low,informal,conversational and directive,neutral,none
Check your own user page please.,Low,neutral,direct and polite,suggestive,none
I forgot to mention that there was also someone who made me feel even sadder.,Low,empathetic,conversational,sadness,sadder
I get why you edited Pen Island.,Low,informal,direct and straightforward,neutral,none
Read her storyline next time!,Low,commanding,direct and imperative,frustration,none
I went to the site and found nothing.,Low,neutral,informative and straightforward,disappointment,none
Who would add prank edits that are small and inaccurate?,Low,inquisitive,informative and accusatory,negative,"prank, inaccurate"
"I didnt change the genre, i just put commas in between them.",Low,neutral,informative and neutral,casual,none
Why are you being so unfriendly?,Low,challenging,direct,confrontational,unfriendly
And what was with that 1984 thing?,Low,inquisitive,colloquial,curious,none
"Yes, the wikipedia page, like I just mentioned.",Low,casual,informative,dismissive,none
Why did you revert my edit?,Low,inquisitive,direct,potentially frustrated,none
Mind telling me what is this?,Low,questioning,informative and neutral,neutral,none
